,Status,Class,Type,Full Baths,HBA,Beds,Apx SQFT,Apx ACR,Sale Year,Sale Price,TotalBaths,PPSF,BathsPerBed,SqftPerAcre,BedsPerSqft
0,Sold,Residential,Rural Residential,2.0,0.0,3.0,1104.0,0.39,2015,82278.481,2.0,74.52760960144927,0.6666666666666666,2760.0,0.0027173666905191077
1,Sold,Residential,Rural Residential,1.0,0.0,2.0,768.0,0.36,2020,75581.395,1.0,98.41327473958334,0.5,2075.675675675676,0.002604132758688038
2,Sold,Residential,Rural Residential,1.0,0.0,4.0,1400.0,0.66,2016,80912.863,1.0,57.79490214285714,0.25,2089.55223880597,0.0028571224491253633
3,Sold,Residential,Rural Residential,1.0,0.0,2.0,969.0,1.0,2024,62737.342,1.0,64.74441898864809,0.5,959.4059405940594,0.002063962188212712
4,Sold,Residential,Rural Residential,1.0,0.0,2.0,900.0,5.0,2020,79360.465,1.0,88.17829444444445,0.5,179.64071856287427,0.002222197531138543
5,Sold,Residential,Rural Residential,2.0,0.0,3.0,1248.0,0.2,2020,79675.388,2.0,63.84245833333334,0.6666666666666666,5942.857142857142,0.002403826892412721
6,Sold,Residential,Rural Residential,1.0,0.0,2.0,768.0,0.2,2021,76752.768,1.0,99.93849999999999,0.5,3657.142857142857,0.002604132758688038
7,Sold,Residential,Rural Residential,1.0,1.0,3.0,1200.0,4.19,2015,87763.713,1.5,73.1364275,0.5,285.7142857142857,0.0024999791668402762
8,Sold,Residential,Rural Residential,2.0,0.0,5.0,2240.0,5.64,2016,86307.054,2.0,38.529934821428576,0.4,396.4601769911505,0.0022321328922638734
9,Sold,Residential,Rural Residential,1.0,0.0,2.0,885.0,0.25,2021,76752.768,1.0,86.72629152542372,0.5,3403.846153846154,0.0022598614704918587
10,Sold,Residential,Mobile/Mod/Mfg w/Property,2.0,0.0,2.0,896.0,5.0,2022,71678.082,2.0,79.99785937499999,1.0,178.84231536926148,0.00223211794511222
11,Sold,Residential,Rural Residential,2.0,0.0,3.0,1404.0,2.0,2021,77352.399,2.0,55.09430128205128,0.6666666666666666,698.5074626865672,0.0021367369178282207
12,Sold,Residential,Mobile/Mod/Mfg w/Property,2.0,0.0,3.0,1248.0,1.61,2017,85561.224,2.0,68.55867307692309,0.6666666666666666,770.3703703703703,0.002403826892412721
13,Sold,Residential,Mobile/Mod/Mfg w/Property,2.0,0.0,3.0,1456.0,7.0,2021,77952.03,2.0,53.53848214285714,0.6666666666666666,207.70328102710414,0.0020604254091661457
14,Sold,Residential,Rural Residential,2.0,0.0,3.0,1530.0,0.84,2015,89135.021,2.0,58.25818366013071,0.6666666666666666,1800.0,0.0019607714982255017
15,Sold,Residential,Rural Residential,1.0,0.0,3.0,1040.0,0.25,2015,89135.021,1.0,85.70675096153846,0.3333333333333333,4000.0,0.0028845876481956904
